Year,Number of pages added,Party in power
1965,276,Conservatives
1966,127,Election
1967,113,Labour
1968,133,Election
1969,222,Labour
1970,73,Election
1971,134,Conservatives
1972,229,Conservatives
1973,120,Conservatives
1974,125,Election
1975,186,Labour
1976,184,Labour
1977,90,Labour
1978,112,Labour
1979,24,Election
1980,181,Conservatives
1981,224,Conservatives
1982,262,Conservatives
1983,101,Election
1984,269,Conservatives
1985,248,Conservatives
1986,271,Conservatives
1987,118,Election
1988,194,Conservatives
1989,290,Conservatives
1990,204,Conservatives
1991,196,Conservatives
1992,196,Election
1993,332,Conservatives
1994,484,Conservatives
1995,390,Conservatives
1996,482,Conservatives
1997,358,Election
1998,434,Labour
1999,203,Labour
2000,622,Labour
2001,340,Election
2002,503,Labour
2003,467,Labour
2004,650,Labour
2005,382,Election
2006,518,Labour
2007,317,Labour
2008,461,Labour
2009,458,Labour
2010,302,Election
2011,404,Conservative / Liberal Democrat
2012,703,Conservative / Liberal Democrat
2013,648,Conservative / Liberal Democrat
2014,668,Conservative / Liberal Democrat
2015,597,Election